H_lr, loss_lambda_kmeans, gnnlayers, with_bn, F_norm, lin, step_size_gamma, lambda1, lambda2, dropout, dataset, acc_mean, acc_std, nmi_mean, nmi_std, ari_mean, ari_std, f1_mean, f1_std, mod_mean, mod_std, con_mean, con_std
0.005, 0.0, 4, True, True, True, 0.01, 180.0, 0.003, 0.0, texas, 59.02, 0.35, 18.40, 1.26, 25.81, 1.31, 34.22, 0.64, 46.40, 0.81, 11.96, 0.77
0.005, 0.0, 4, True, True, True, 0.01, 180.0, 0.005, 0.0, texas, 59.45, 0.80, 18.26, 2.36, 25.68, 0.73, 34.39, 1.49, 45.67, 2.52, 12.06, 0.49
0.005, 0.0, 4, True, True, True, 0.01, 180.0, 0.01, 0.0, texas, 59.45, 0.80, 19.43, 1.39, 25.83, 1.30, 34.49, 0.38, 46.78, 1.06, 12.09, 0.62
0.005, 0.0, 4, True, True, True, 0.01, 220.0, 0.001, 0.0, texas, 59.02, 1.15, 17.62, 1.93, 25.68, 3.42, 34.12, 2.34, 38.32, 5.48, 17.21, 4.93
0.005, 0.0, 4, True, True, True, 0.01, 220.0, 0.003, 0.0, texas, 59.56, 0.98, 19.43, 2.87, 25.08, 1.36, 34.24, 1.64, 42.35, 6.14, 12.41, 2.31
0.005, 0.0, 4, True, True, True, 0.01, 220.0, 0.005, 0.0, texas, 59.34, 1.75, 20.97, 1.81, 26.20, 4.00, 35.34, 2.16, 41.91, 7.57, 15.55, 3.29
0.005, 0.0, 4, True, True, True, 0.01, 220.0, 0.01, 0.0, texas, 59.45, 0.87, 19.16, 0.55, 26.04, 2.55, 34.99, 0.72, 41.58, 7.94, 15.63, 4.32
0.005, 0.0, 4, True, True, True, 0.01, 260.0, 0.001, 0.0, texas, 59.45, 1.22, 17.26, 2.15, 24.91, 2.26, 34.70, 1.91, 28.98, 16.28, 25.33, 11.97
0.005, 0.0, 4, True, True, True, 0.01, 260.0, 0.003, 0.0, texas, 60.33, 1.01, 18.83, 2.10, 25.96, 2.64, 34.49, 3.66, 21.78, 19.20, 29.88, 15.15
0.005, 0.0, 4, True, True, True, 0.01, 260.0, 0.005, 0.0, texas, 60.44, 1.57, 18.91, 0.83, 25.50, 1.68, 34.76, 1.90, 26.68, 15.21, 24.44, 12.10
0.005, 0.0, 4, True, True, True, 0.01, 260.0, 0.01, 0.0, texas, 60.33, 1.01, 20.24, 2.99, 26.21, 1.72, 34.90, 1.77, 36.65, 7.20, 18.02, 4.23
0.005, 0.0, 4, True, True, True, 0.01, 300.0, 0.001, 0.0, texas, 61.97, 2.65, 17.31, 4.12, 24.70, 6.83, 33.23, 2.74, -0.09, 8.15, 41.69, 14.11
0.005, 0.0, 4, True, True, True, 0.01, 300.0, 0.003, 0.0, texas, 62.62, 2.73, 20.63, 2.16, 29.24, 3.34, 34.02, 1.84, 3.75, 16.11, 43.02, 12.52
0.005, 0.0, 4, True, True, True, 0.01, 300.0, 0.005, 0.0, texas, 62.51, 1.91, 21.32, 1.49, 30.52, 2.58, 33.96, 2.66, 3.88, 14.20, 43.94, 12.07
0.005, 0.0, 4, True, True, True, 0.01, 300.0, 0.01, 0.0, texas, 62.30, 2.04, 20.69, 2.19, 29.95, 2.93, 34.27, 1.85, 4.14, 14.56, 44.09, 11.49
0.01, 0.0, 4, True, True, True, 0.005, 60.0, 0.001, 0.0, wisc, 54.98, 0.25, 22.57, 0.31, 20.23, 0.54, 39.68, 0.28, 50.44, 0.21, 22.60, 0.21
0.01, 0.0, 4, True, True, True, 0.005, 60.0, 0.003, 0.0, wisc, 54.50, 1.70, 22.87, 0.73, 20.19, 1.20, 39.83, 0.60, 50.27, 0.99, 22.90, 0.49
0.01, 0.0, 4, True, True, True, 0.005, 60.0, 0.005, 0.0, wisc, 54.66, 1.22, 22.57, 0.50, 20.31, 1.02, 39.81, 0.31, 50.87, 1.11, 22.77, 0.38
0.01, 0.0, 4, True, True, True, 0.005, 60.0, 0.01, 0.0, wisc, 55.62, 0.54, 23.31, 0.99, 21.41, 0.93, 40.01, 0.54, 50.09, 0.22, 23.00, 0.30
0.01, 0.0, 4, True, True, True, 0.005, 100.0, 0.001, 0.0, wisc, 53.94, 0.86, 21.78, 0.69, 19.43, 0.82, 39.00, 0.34, 51.51, 0.96, 21.71, 0.96
0.01, 0.0, 4, True, True, True, 0.005, 100.0, 0.003, 0.0, wisc, 54.26, 0.77, 21.92, 0.30, 19.38, 1.06, 39.20, 0.46, 50.69, 0.25, 22.33, 0.21
0.01, 0.0, 4, True, True, True, 0.005, 100.0, 0.005, 0.0, wisc, 54.66, 0.53, 22.79, 0.43, 19.86, 1.08, 39.60, 0.74, 50.47, 0.79, 22.64, 0.35
