H_lr, loss_lambda_kmeans, gnnlayers, with_bn, F_norm, lin, step_size_gamma, lambda1, lambda2, dropout, dataset, acc_mean, acc_std, nmi_mean, nmi_std, ari_mean, ari_std, f1_mean, f1_std, mod_mean, mod_std, con_mean, con_std
0.005, 0.0, 4, True, True, True, 0.005, 300.0, 0.003, 0.0, cora, 72.36, 0.60, 56.07, 0.49, 48.99, 0.77, 68.97, 0.48, 75.73, 0.18, 6.52, 0.35
0.005, 0.0, 4, True, True, True, 0.005, 300.0, 0.005, 0.0, cora, 72.05, 0.63, 55.28, 0.35, 48.64, 0.84, 68.50, 0.43, 75.52, 0.79, 6.97, 0.80
0.005, 0.0, 4, True, True, True, 0.005, 300.0, 0.01, 0.0, cora, 72.32, 0.95, 55.65, 0.94, 49.00, 1.14, 68.87, 0.98, 75.26, 0.55, 7.02, 0.58
0.005, 0.0, 4, True, True, True, 0.01, 60.0, 0.001, 0.0, cora, 72.69, 0.83, 56.26, 1.20, 49.04, 0.94, 69.24, 0.78, 75.74, 0.48, 6.38, 0.08
0.005, 0.0, 4, True, True, True, 0.01, 60.0, 0.003, 0.0, cora, 72.50, 0.79, 56.01, 1.36, 48.96, 0.98, 68.95, 0.71, 75.94, 0.64, 6.31, 0.30
0.005, 0.0, 4, True, True, True, 0.01, 60.0, 0.005, 0.0, cora, 72.22, 0.62, 55.56, 0.86, 48.55, 0.85, 68.70, 0.45, 75.90, 0.51, 6.38, 0.14
0.005, 0.0, 4, True, True, True, 0.01, 60.0, 0.01, 0.0, cora, 72.22, 0.58, 55.44, 0.87, 48.32, 0.57, 68.75, 0.56, 75.74, 0.63, 6.42, 0.25
0.005, 0.0, 4, True, True, True, 0.01, 100.0, 0.001, 0.0, cora, 72.97, 0.79, 56.96, 0.82, 49.08, 0.84, 69.78, 0.68, 76.02, 0.52, 5.93, 0.05
0.005, 0.0, 4, True, True, True, 0.01, 100.0, 0.003, 0.0, cora, 72.64, 0.91, 56.71, 1.13, 48.90, 0.93, 69.46, 0.76, 76.33, 0.48, 5.89, 0.09
0.005, 0.0, 4, True, True, True, 0.01, 100.0, 0.005, 0.0, cora, 72.30, 0.60, 55.93, 1.12, 48.62, 0.60, 69.03, 0.83, 76.23, 0.63, 6.01, 0.09
0.005, 0.0, 4, True, True, True, 0.01, 100.0, 0.01, 0.0, cora, 72.36, 0.79, 55.65, 0.30, 48.84, 1.07, 68.83, 0.60, 76.38, 0.47, 5.97, 0.18
0.005, 0.0, 4, True, True, True, 0.01, 140.0, 0.001, 0.0, cora, 72.24, 0.93, 55.71, 1.32, 48.60, 1.12, 68.86, 1.07, 75.61, 0.62, 6.59, 0.42
0.005, 0.0, 4, True, True, True, 0.01, 140.0, 0.003, 0.0, cora, 72.06, 0.82, 55.63, 1.06, 48.71, 0.95, 68.73, 0.86, 75.89, 0.72, 6.58, 0.49
0.005, 0.0, 4, True, True, True, 0.01, 140.0, 0.005, 0.0, cora, 71.73, 0.66, 55.67, 0.74, 47.99, 0.56, 68.53, 0.65, 76.12, 0.51, 6.37, 0.12
0.005, 0.0, 4, True, True, True, 0.01, 140.0, 0.01, 0.0, cora, 72.03, 0.74, 55.67, 0.68, 48.27, 0.88, 68.76, 0.66, 76.13, 0.55, 6.23, 0.23
0.005, 0.0, 4, True, True, True, 0.01, 180.0, 0.001, 0.0, cora, 72.06, 0.76, 55.69, 0.71, 48.87, 1.13, 68.99, 0.80, 75.35, 0.28, 7.08, 0.21
0.005, 0.0, 4, True, True, True, 0.01, 180.0, 0.003, 0.0, cora, 72.13, 1.08, 55.37, 1.24, 48.87, 1.17, 68.90, 1.11, 74.62, 0.70, 7.75, 0.54
0.005, 0.0, 4, True, True, True, 0.01, 180.0, 0.005, 0.0, cora, 72.39, 1.12, 55.75, 1.32, 49.32, 1.12, 68.83, 1.03, 74.18, 1.05, 8.19, 0.70
0.005, 0.0, 4, True, True, True, 0.01, 180.0, 0.01, 0.0, cora, 72.02, 0.66, 55.39, 0.95, 48.60, 0.98, 68.45, 0.72, 74.46, 0.65, 7.87, 0.51
0.005, 0.0, 4, True, True, True, 0.01, 220.0, 0.001, 0.0, cora, 72.10, 0.64, 55.27, 0.38, 48.21, 0.48, 68.72, 0.56, 74.05, 1.13, 8.16, 0.71
0.005, 0.0, 4, True, True, True, 0.01, 220.0, 0.003, 0.0, cora, 72.13, 0.49, 55.44, 0.32, 48.57, 0.46, 68.71, 0.29, 73.53, 1.65, 8.75, 1.23
0.005, 0.0, 4, True, True, True, 0.01, 220.0, 0.005, 0.0, cora, 72.17, 0.78, 55.43, 0.53, 48.34, 0.77, 68.75, 0.68, 73.81, 1.36, 8.32, 0.83
0.005, 0.0, 4, True, True, True, 0.01, 220.0, 0.01, 0.0, cora, 71.98, 0.68, 55.70, 0.84, 48.09, 0.66, 68.73, 0.66, 73.94, 1.19, 8.25, 0.74
0.005, 0.0, 4, True, True, True, 0.01, 260.0, 0.001, 0.0, cora, 72.22, 0.73, 55.21, 1.15, 48.37, 1.11, 68.79, 0.61, 73.37, 1.27, 8.77, 1.15
0.005, 0.0, 4, True, True, True, 0.01, 260.0, 0.003, 0.0, cora, 72.14, 0.39, 55.43, 0.41, 48.40, 0.48, 68.72, 0.34, 74.34, 0.83, 8.00, 0.65
0.005, 0.0, 4, True, True, True, 0.01, 260.0, 0.005, 0.0, cora, 72.41, 0.64, 55.65, 1.03, 48.36, 0.73, 69.02, 0.66, 74.31, 0.72, 7.82, 0.46
0.005, 0.0, 4, True, True, True, 0.01, 260.0, 0.01, 0.0, cora, 72.17, 0.72, 55.00, 1.24, 48.09, 1.19, 68.66, 0.71, 73.42, 1.24, 8.64, 0.98
0.005, 0.0, 4, True, True, True, 0.01, 300.0, 0.001, 0.0, cora, 71.94, 0.24, 54.69, 0.47, 47.85, 0.94, 68.34, 0.17, 73.62, 0.52, 8.58, 0.62
0.005, 0.0, 4, True, True, True, 0.01, 300.0, 0.003, 0.0, cora, 71.88, 0.52, 54.71, 0.61, 48.02, 0.81, 68.38, 0.35, 73.76, 0.82, 8.56, 0.62
0.005, 0.0, 4, True, True, True, 0.01, 300.0, 0.005, 0.0, cora, 71.91, 0.57, 55.14, 0.55, 48.53, 0.64, 68.43, 0.43, 74.18, 0.65, 8.33, 0.43
0.005, 0.0, 4, True, True, True, 0.01, 300.0, 0.01, 0.0, cora, 72.05, 0.56, 54.99, 0.45, 48.23, 0.66, 68.57, 0.39, 73.76, 0.90, 8.53, 0.68
